OPTION CODE,OPTION CODE COMPAT,TYPE,DESCRIPTION,YEAR
AB1,AB4,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,AGF1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,AGF2,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,BE3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,BE6,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,BE7,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CAGF1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CAGF2,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CAGF3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CAGF4,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSAM1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSP1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSP12,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSP13,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSP14,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSP15,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSP16,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSP17,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSP18,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSP19,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSP20,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSP21,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSP3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSP7,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CSP9,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CWS1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,CWS3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,FG6,SUPBPA,First option is base for the second option at PARCEL LEVEL,2025
AB1,HRW1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,HRW2,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,HRW3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,IPM4,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,MOR1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,PRF1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,PRF2,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,SAM1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,SOH1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,SP1,SUPBAS,First option is base for the second option at LAND USE LEVEL,2025
AB1,SP9,SUPBAS,First option is base for the second option at LAND USE LEVEL,2025
AB1,SW17,BASECO,Options are compatible at LAND USE LEVEL,2025
AB1,WT3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,AB11,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,AB13,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,AB14,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,AB15,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,AB16,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,AB2,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,AB4,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,AB7,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,AB9,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,AGF1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,AGF2,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,AHW6,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,BE3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,BE6,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,BE7,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CAB2,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CAGF1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CAGF2,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CAGF3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CAGF4,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CHS3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CHS9,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSAM1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSP1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSP12,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSP13,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSP14,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSP15,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSP16,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSP17,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSP18,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSP19,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSP20,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSP21,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSP3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSP7,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CSP9,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CWS1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,CWS3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,FG6,SUPBPA,First option is base for the second option at PARCEL LEVEL,2025
AB10,HRW1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,HRW2,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,HRW3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,HS3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,HS9,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,MOR1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,OFC3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,OFM4,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,OR3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,OT3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,PRF2,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,PRF4,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,RP32,BASEPA,Options are NOT compatible at PARCEL LEVEL,2025
AB10,RP33,BASEPA,Options are NOT compatible at PARCEL LEVEL,2025
AB10,SAM1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,SOH1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,SP9,SUPBAS,First option is base for the second option at LAND USE LEVEL,2025
AB10,SW17,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,SW5,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,SW6,BASECO,Options are compatible at LAND USE LEVEL,2025
AB10,WT3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AB10,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AB13,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AB14,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AB15,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AB16,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AB2,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AB4,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AB5,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AB6,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AB7,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AB9,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AGF1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AGF2,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AHW5,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AHW6,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,AHW7,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,BE3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,BE6,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,BE7,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,CAB2,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,CAB5,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,CAB6,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,CAGF1,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,CAGF2,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,CAGF3,BASECO,Options are compatible at LAND USE LEVEL,2025
AB11,CAGF4,BASECO,Options are compatible at LAND USE LEVEL,2025
